complex_type,province,city,complex_name,development_status,sale_rate,resident_companies,active_companies
농공,경남,김해시,봉림,완료,100.0,2,2
농공,경남,김해시,안하,완료,100.0,46,46
농공,경남,김해시,진영죽곡,완료,100.0,79,79
농공,경남,김해시,하계,완료,100.0,32,32
농공,경남,밀양시,미전,완료,100.0,22,22
농공,경남,밀양시,부북특별,조성중,100.0,3,3
농공,경남,밀양시,상남특별,완료,100.0,2,2
농공,경남,밀양시,제대,완료,100.0,2,2
농공,경남,밀양시,초동특별,완료,100.0,44,44
농공,경남,밀양시,하남,완료,100.0,30,28
농공,경남,밀양시,춘화,완료,100.0,20,18
농공,경남,사천시,곤양,완료,100.0,9,9
농공,경남,사천시,두량전문,완료,100.0,24,21
농공,경남,사천시,사남,완료,100.0,46,41
농공,경남,사천시,송포,완료,100.0,19,17
농공,경남,사천시,축동구호,완료,100.0,10,9
농공,경남,사천시,향촌삽재,완료,100.0,36,36
농공,경남,양산시,웅상,완료,100.0,10,10
농공,경남,진주시,대곡,완료,100.0,17,17
농공,경남,진주시,사봉,완료,100.0,18,18
농공,경남,진주시,생물산업전문,완료,100.0,22,22
농공,경남,진주시,실크융복합전문농공단지(구:실크전문),완료,100.0,29,29
농공,경남,진주시,이반성,완료,100.0,8,8
농공,경남,진주시,진성,완료,100.0,16,16
농공,경남,거창군,남산,완료,100.0,19,18
농공,경남,거창군,당산,완료,100.0,9,8
농공,경남,거창군,서울우유,완료,100.0,1,1
농공,경남,거창군,석강,완료,100.0,9,8
농공,경남,거창군,정장,완료,100.0,8,7
농공,경남,거창군,석강제2,완료,100.0,5,5
농공,경남,고성군,마동,완료,100.0,8,4
농공,경남,고성군,세송,완료,100.0,6,5
농공,경남,고성군,율대,완료,100.0,12,7
농공,경남,고성군,회화,완료,100.0,9,5
농공,경남,남해군,고현,완료,100.0,11,10
농공,경남,산청군,금서,완료,100.0,11,11
농공,경남,산청군,금서제2,완료,100.0,6,6
농공,경남,산청군,산청,완료,100.0,9,9
농공,경남,의령군,동동,완료,100.0,22,15
농공,경남,의령군,봉수,완료,100.0,31,30
농공,경남,의령군,부림,완료,100.0,8,8
농공,경남,의령군,정곡,완료,100.0,5,5
농공,경남,창녕군,남지,완료,100.0,7,6
농공,경남,창녕군,대지,완료,100.0,10,7
농공,경남,창녕군,대합,완료,100.0,12,10
농공,경남,창녕군,서리전문,완료,100.0,19,19
농공,경남,창녕군,송진전문,완료,100.0,5,4
농공,경남,하동군,고전,완료,100.0,6,6
농공,경남,하동군,금성조선,조성중,100.0,0,0
농공,경남,하동군,적량,완료,100.0,7,5
농공,경남,하동군,진교,완료,100.0,7,6
농공,경남,함안군,가야,완료,100.0,4,4
농공,경남,함안군,군북,완료,100.0,17,17
농공,경남,함안군,모로,완료,100.0,4,4
농공,경남,함안군,법수,완료,100.0,21,18
농공,경남,함안군,산인,완료,100.0,22,16
농공,경남,함안군,장암,완료,76.92,1,1
농공,경남,함안군,칠원용산,완료,100.0,22,22
농공,경남,함안군,칠원운서,완료,97.22,59,56
농공,경남,함안군,파수,완료,100.0,36,29
농공,경남,함안군,황사,완료,100.0,14,12
농공,경남,함양군,수동,완료,100.0,12,12
농공,경남,함양군,안의전문,완료,100.0,6,6
농공,경남,함양군,원평,완료,100.0,3,3
농공,경남,함양군,이은,완료,100.0,6,6
농공,경남,합천군,야로,완료,100.0,17,10
농공,경남,합천군,율곡,완료,100.0,23,20
농공,경남,합천군,적중,완료,100.0,6,3
농공,경남,밀양시,대미,완료,100.0,1,1
농공,경남,창원시 마산합포구,진북,완료,100.0,21,21
농공,경남,고성군,제일,완료,100.0,2,2
농공,경남,거창군,승강기전문,완료,100.0,15,13
농공,경남,함양군,안의제2전문,완료,100.0,16,10
농공,경남,산청군,화현,완료,73.33,7,2
농공,경남,함양군,함양중방전문,완료,100.0,6,2
농공,경남,함양군,인산죽염항노화,조성중,0.0,1,0
농공,경남,밀양시,상남2농공단지,미개발,0.0,0,0
국가,제주,제주시,제주첨단과학기술,완료,100.0,193,193
국가,제주,제주시,제주첨단과학기술2단지,미개발,0.0,0,0
일반,제주,제주시,용암해수,완료,100.0,21,20
농공,제주,서귀포시,대정,완료,100.0,24,21
농공,제주,제주시,구좌,완료,100.0,18,18
농공,제주,제주시,금능,완료,100.0,19,19
