물품순번,물품명,판매지방청명,판매금액,판매한도수량값,판매종료일자
5,납(99.99%이상),전북,3170000,200톤/주 ,2025-09-15
6,납(99.99%이상),부산,3290000,200톤/주 ,2025-09-15
7,아연,"부산,인천,대구,전북",4850000,15톤/주 ,2025-09-15
8,주석(99.85%이상),"부산,인천,대구,전북",54440000,6톤/주 ,2025-09-15
9,주석(99.90%이상),"부산,인천,대구,전북",54600000,4톤/주 ,2025-09-15
10,니켈(합금용),"부산,인천,대구",25120000,5톤/주 ,2025-09-15
11,니켈(도금용),"부산,인천",25510000,3톤/주,2025-09-15
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4400000,통합50톤/주,2025-09-12
2,알루미늄(비서구산),"부산,인천,대구,전북",4390000,통합50톤/주,2025-09-12
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15640000,50톤/주 ,2025-09-12
4,납(99.99%이상),"인천,대구",3230000,200톤/주 ,2025-09-12
5,납(99.99%이상),전북,3140000,200톤/주 ,2025-09-12
6,납(99.99%이상),부산,3260000,200톤/주 ,2025-09-12
7,아연,"부산,인천,대구,전북",4760000,15톤/주 ,2025-09-12
8,주석(99.85%이상),"부산,인천,대구,전북",54280000,6톤/주 ,2025-09-12
9,주석(99.90%이상),"부산,인천,대구,전북",54440000,4톤/주 ,2025-09-12
10,니켈(합금용),"부산,인천,대구",24820000,5톤/주 ,2025-09-12
11,니켈(도금용),"부산,인천",25200000,3톤/주,2025-09-12
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4300000,통합50톤/주,2025-09-11
2,알루미늄(비서구산),"부산,인천,대구,전북",4290000,통합50톤/주,2025-09-11
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15530000,50톤/주 ,2025-09-11
4,납(99.99%이상),"인천,대구",3200000,200톤/주 ,2025-09-11
5,납(99.99%이상),전북,3120000,200톤/주 ,2025-09-11
6,납(99.99%이상),부산,3230000,200톤/주 ,2025-09-11
7,아연,"부산,인천,대구,전북",4720000,15톤/주 ,2025-09-11
8,주석(99.85%이상),"부산,인천,대구,전북",53910000,6톤/주 ,2025-09-11
9,주석(99.90%이상),"부산,인천,대구,전북",54070000,4톤/주 ,2025-09-11
10,니켈(합금용),"부산,인천,대구",24700000,5톤/주 ,2025-09-11
11,니켈(도금용),"부산,인천",25080000,3톤/주,2025-09-11
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4300000,통합50톤/주,2025-09-10
2,알루미늄(비서구산),"부산,인천,대구,전북",4290000,통합50톤/주,2025-09-10
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15360000,50톤/주 ,2025-09-10
4,납(99.99%이상),"인천,대구",3180000,200톤/주 ,2025-09-10
5,납(99.99%이상),전북,3100000,200톤/주 ,2025-09-10
6,납(99.99%이상),부산,3210000,200톤/주 ,2025-09-10
7,아연,"부산,인천,대구,전북",4670000,15톤/주 ,2025-09-10
8,주석(99.85%이상),"부산,인천,대구,전북",53100000,6톤/주 ,2025-09-10
9,주석(99.90%이상),"부산,인천,대구,전북",53260000,4톤/주 ,2025-09-10
10,니켈(합금용),"부산,인천,대구",24650000,5톤/주 ,2025-09-10
11,니켈(도금용),"부산,인천",25040000,3톤/주,2025-09-10
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4300000,통합50톤/주,2025-09-09
2,알루미늄(비서구산),"부산,인천,대구,전북",4290000,통합50톤/주,2025-09-09
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15390000,50톤/주 ,2025-09-09
4,납(99.99%이상),"인천,대구",3220000,200톤/주 ,2025-09-09
5,납(99.99%이상),전북,3130000,200톤/주 ,2025-09-09
6,납(99.99%이상),부산,3250000,200톤/주 ,2025-09-09
7,아연,"부산,인천,대구,전북",4710000,15톤/주 ,2025-09-09
8,주석(99.85%이상),"부산,인천,대구,전북",53590000,6톤/주 ,2025-09-09
9,주석(99.90%이상),"부산,인천,대구,전북",53750000,4톤/주 ,2025-09-09
10,니켈(합금용),"부산,인천,대구",24900000,5톤/주 ,2025-09-09
11,니켈(도금용),"부산,인천",25280000,3톤/주,2025-09-09
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4270000,통합50톤/주,2025-09-08
2,알루미늄(비서구산),"부산,인천,대구,전북",4260000,통합50톤/주,2025-09-08
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15380000,50톤/주 ,2025-09-08
4,납(99.99%이상),"인천,대구",3210000,200톤/주 ,2025-09-08
5,납(99.99%이상),전북,3120000,200톤/주 ,2025-09-08
6,납(99.99%이상),부산,3240000,200톤/주 ,2025-09-08
7,아연,"부산,인천,대구,전북",4700000,15톤/주 ,2025-09-08
8,주석(99.85%이상),"부산,인천,대구,전북",53690000,6톤/주 ,2025-09-08
9,주석(99.90%이상),"부산,인천,대구,전북",53850000,4톤/주 ,2025-09-08
10,니켈(합금용),"부산,인천,대구",24920000,5톤/주 ,2025-09-08
11,니켈(도금용),"부산,인천",25300000,3톤/주,2025-09-08
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4260000,통합50톤/주,2025-09-05
2,알루미늄(비서구산),"부산,인천,대구,전북",4250000,통합50톤/주,2025-09-05
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15400000,50톤/주 ,2025-09-05
4,납(99.99%이상),"인천,대구",3210000,200톤/주 ,2025-09-05
5,납(99.99%이상),전북,3130000,200톤/주 ,2025-09-05
6,납(99.99%이상),부산,3240000,200톤/주 ,2025-09-05
7,아연,"부산,인천,대구,전북",4670000,15톤/주 ,2025-09-05
8,주석(99.85%이상),"부산,인천,대구,전북",54170000,6톤/주 ,2025-09-05
9,주석(99.90%이상),"부산,인천,대구,전북",54330000,4톤/주 ,2025-09-05
10,니켈(합금용),"부산,인천,대구",24950000,5톤/주 ,2025-09-05
11,니켈(도금용),"부산,인천",25340000,3톤/주,2025-09-05
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4310000,통합50톤/주,2025-09-04
2,알루미늄(비서구산),"부산,인천,대구,전북",4300000,통합50톤/주,2025-09-04
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15520000,50톤/주 ,2025-09-04
4,납(99.99%이상),"인천,대구",3230000,200톤/주 ,2025-09-04
5,납(99.99%이상),전북,3140000,200톤/주 ,2025-09-04
6,납(99.99%이상),부산,3260000,200톤/주 ,2025-09-04
7,아연,"부산,인천,대구,전북",4700000,15톤/주 ,2025-09-04
8,주석(99.85%이상),"부산,인천,대구,전북",54310000,6톤/주 ,2025-09-04
9,주석(99.90%이상),"부산,인천,대구,전북",54470000,4톤/주 ,2025-09-04
10,니켈(합금용),"부산,인천,대구",25040000,5톤/주 ,2025-09-04
11,니켈(도금용),"부산,인천",25420000,3톤/주,2025-09-04
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4310000,통합50톤/주,2025-09-03
2,알루미늄(비서구산),"부산,인천,대구,전북",4300000,통합50톤/주,2025-09-03
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15510000,50톤/주 ,2025-09-03
4,납(99.99%이상),"인천,대구",3220000,200톤/주 ,2025-09-03
5,납(99.99%이상),전북,3140000,200톤/주 ,2025-09-03
6,납(99.99%이상),부산,3250000,200톤/주 ,2025-09-03
7,아연,"부산,인천,대구,전북",4700000,15톤/주 ,2025-09-03
8,주석(99.85%이상),"부산,인천,대구,전북",54450000,6톤/주 ,2025-09-03
9,주석(99.90%이상),"부산,인천,대구,전북",54610000,4톤/주 ,2025-09-03
10,니켈(합금용),"부산,인천,대구",24910000,5톤/주 ,2025-09-03
11,니켈(도금용),"부산,인천",25290000,3톤/주,2025-09-03
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4300000,통합50톤/주,2025-09-02
2,알루미늄(비서구산),"부산,인천,대구,전북",4290000,통합50톤/주,2025-09-02
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15360000,50톤/주 ,2025-09-02
4,납(99.99%이상),"인천,대구",3240000,200톤/주 ,2025-09-02
5,납(99.99%이상),전북,3160000,200톤/주 ,2025-09-02
6,납(99.99%이상),부산,3270000,200톤/주 ,2025-09-02
7,아연,"부산,인천,대구,전북",4650000,15톤/주 ,2025-09-02
8,주석(99.85%이상),"부산,인천,대구,전북",54900000,6톤/주 ,2025-09-02
9,주석(99.90%이상),"부산,인천,대구,전북",55060000,4톤/주 ,2025-09-02
10,니켈(합금용),"부산,인천,대구",25280000,5톤/주 ,2025-09-02
11,니켈(도금용),"부산,인천",25660000,3톤/주,2025-09-02
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4290000,통합50톤/주,2025-09-01
2,알루미늄(비서구산),"부산,인천,대구,전북",4280000,통합50톤/주,2025-09-01
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15360000,50톤/주 ,2025-09-01
4,납(99.99%이상),"인천,대구",3220000,200톤/주 ,2025-09-01
5,납(99.99%이상),전북,3140000,200톤/주 ,2025-09-01
6,납(99.99%이상),부산,3250000,200톤/주 ,2025-09-01
7,아연,"부산,인천,대구,전북",4610000,15톤/주 ,2025-09-01
8,주석(99.85%이상),"부산,인천,대구,전북",54900000,6톤/주 ,2025-09-01
9,주석(99.90%이상),"부산,인천,대구,전북",55060000,4톤/주 ,2025-09-01
10,니켈(합금용),"부산,인천,대구",25200000,5톤/주 ,2025-09-01
11,니켈(도금용),"부산,인천",25580000,3톤/주,2025-09-01
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4270000,통합50톤/주,2025-08-29
2,알루미늄(비서구산),"부산,인천,대구,전북",4260000,통합50톤/주,2025-08-29
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15270000,50톤/주 ,2025-08-29
4,납(99.99%이상),"인천,대구",3200000,200톤/주 ,2025-08-29
5,납(99.99%이상),전북,3120000,200톤/주 ,2025-08-29
6,납(99.99%이상),부산,3230000,200톤/주 ,2025-08-29
7,아연,"부산,인천,대구,전북",4520000,15톤/주 ,2025-08-29
8,주석(99.85%이상),"부산,인천,대구,전북",54300000,6톤/주 ,2025-08-29
9,주석(99.90%이상),"부산,인천,대구,전북",54690000,4톤/주 ,2025-08-29
10,니켈(합금용),"부산,인천,대구",24910000,5톤/주 ,2025-08-29
11,니켈(도금용),"부산,인천",25290000,3톤/주,2025-08-29
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4290000,통합50톤/주,2025-08-28
2,알루미늄(비서구산),"부산,인천,대구,전북",4280000,통합50톤/주,2025-08-28
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15260000,50톤/주 ,2025-08-28
4,납(99.99%이상),"인천,대구,부산",3220000,200톤/주 ,2025-08-28
5,납(99.99%이상),전북,3140000,200톤/주 ,2025-08-28
6,아연,"부산,인천,대구,전북",4510000,15톤/주 ,2025-08-28
7,주석(99.85%이상),"부산,인천,대구,전북",54320000,6톤/주 ,2025-08-28
8,주석(99.90%이상),"부산,인천,대구,전북",54720000,4톤/주 ,2025-08-28
9,니켈(합금용),"부산,인천,대구",24840000,5톤/주 ,2025-08-28
10,니켈(도금용),"부산,인천",25230000,3톤/주,2025-08-28
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4340000,통합50톤/주,2025-08-27
2,알루미늄(비서구산),"부산,인천,대구,전북",4330000,통합50톤/주,2025-08-27
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15380000,50톤/주 ,2025-08-27
4,납(99.99%이상),"인천,대구,부산",3230000,200톤/주 ,2025-08-27
5,납(99.99%이상),전북,3150000,200톤/주 ,2025-08-27
6,아연,"부산,인천,대구,전북",4600000,15톤/주 ,2025-08-27
7,주석(99.85%이상),"부산,인천,대구,전북",53770000,6톤/주 ,2025-08-27
8,주석(99.90%이상),"부산,인천,대구,전북",54170000,4톤/주 ,2025-08-27
9,니켈(합금용),"부산,인천,대구",25080000,5톤/주 ,2025-08-27
10,니켈(도금용),"부산,인천",25460000,3톤/주,2025-08-27
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4280000,통합50톤/주,2025-08-26
2,알루미늄(비서구산),"부산,인천,대구,전북",4270000,통합50톤/주,2025-08-26
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15210000,50톤/주 ,2025-08-26
4,납(99.99%이상),"인천,대구,부산",3220000,200톤/주 ,2025-08-26
5,납(99.99%이상),전북,3140000,200톤/주 ,2025-08-26
6,아연,"부산,인천,대구,전북",4570000,15톤/주 ,2025-08-26
